"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
233,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.15,0.84,0.01
234,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.02,0.02,0.96
235,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.96,0.04
236,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.04,0.63,0.33
237,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.68,0.32
238,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.1,0.66,0.24
239,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.99,0.01
240,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.08,0.91,0.01
241,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.11,0.89,0
242,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.96,0.04
243,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.08,0.59,0.33
244,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.04,0.71,0.25
245,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.08,0.61,0.31
246,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.14,0.8,0.06
247,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.4,0.6
248,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_dist",0,0.82,0.18
249,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.02,0.02,0.96
250,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.01,0.99
251,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_dist",0.73,0.21,0.06
252,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.06,0.61,0.33
253,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.84,0.16
254,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0.53,0.37,0.1
255,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.09,0.64,0.27
256,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.99,0.01
257,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,1,0
258,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.91,0.09
259,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
260,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.87,0.13
261,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.15,0.8,0.05
262,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.79,0.21
263,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
264,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.07,0.93
265,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.07,0.92,0.01
266,4,"Ilipinar 2 (Early Chalcolithic)","Tib_prox",0.37,0.29,0.34
267,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.24,0.01,0.75
268,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.79,0.21
269,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.05,0.63,0.32
270,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.87,0.13
271,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.97,0.03
272,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
273,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.57,0.43
274,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.05,0.95
275,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
276,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.99,0.01
277,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0.94,0.06,0
278,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.04,0.14,0.82
279,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_prox",0.13,0.86,0.01
280,4,"Ilipinar 2 (Early Chalcolithic)","Mtt_dist",0,0.95,0.05
281,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.97,0.03
282,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0,1
283,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.08,0.91,0.01
284,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_prox",0.15,0.79,0.07
285,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.63,0.37
286,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.15,0.85,0
287,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.7,0.3
288,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtc_prox",0.08,0.46,0.45
289,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.97,0.03
290,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.71,0.29
291,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0,0.96,0.04
292,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.1,0.9,0
293,4,"Ilipinar 2 (Early Chalcolithic)","Hum",0.03,0.07,0.9
294,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.98,0.02
295,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.88,0.12
296,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.95,0.05
297,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0.96,0.04,0
298,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
299,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.02,0.11,0.88
300,4,"Ilipinar 2 (Early Chalcolithic)","Ast",0.05,0.77,0.18
